사용월,호선명,역ID,지하철역,승차승객수,하차승객수
2023-03,9호선2~3단계,4135,한성백제,"84,795","76,332"
2023-03,9호선2~3단계,4136,올림픽공원(한국체대),"282,654","291,602"
2023-03,9호선2~3단계,4137,둔촌오륜,"36,234","34,849"
2023-03,9호선2~3단계,4138,중앙보훈병원,"337,912","297,886"
2023-03,우이신설선,4701,북한산우이,"104,571","99,658"
2023-03,우이신설선,4702,솔밭공원,"82,628","76,750"
2023-03,우이신설선,4703,4.19민주묘지,"125,874","121,383"
2023-03,우이신설선,4704,가오리,"134,018","130,084"
2023-03,우이신설선,4705,화계,"111,013","104,583"
2023-03,우이신설선,4706,삼양,"62,819","65,727"
2023-03,우이신설선,4707,삼양사거리,"79,086","78,269"
2023-03,우이신설선,4708,솔샘,"182,273","171,344"
2023-03,우이신설선,4709,북한산보국문,"210,464","197,135"
2023-03,우이신설선,4710,정릉,"152,654","138,612"
2023-03,우이신설선,4711,성신여대입구(돈암),"112,562","126,991"
2023-03,우이신설선,4712,보문,"50,190","50,341"
2023-03,우이신설선,4713,신설동,"70,885","67,307"
2023-03,신림선,4401,샛강,"78,929","94,460"
2023-03,신림선,4402,대방,"85,213","64,963"
2023-03,신림선,4403,서울지방병무청,"87,917","93,672"
2023-03,신림선,4404,보라매,"110,155","99,829"
2023-03,신림선,4405,보라매공원,"61,084","66,376"
2023-03,신림선,4406,보라매병원,"192,980","200,887"
2023-03,신림선,4407,당곡,"132,482","129,853"
2023-03,신림선,4408,신림,"51,523","72,998"
2023-03,신림선,4409,서원,"102,676","86,925"
2023-03,신림선,4410,서울대벤처타운,"275,930","254,653"
2023-03,신림선,4411,관악산(서울대),"104,376","110,261"
